id,name,industry
101,ABC Corp,Technology
102,XYZ Ltd,Finance
103,Acme Inc,Manufacturing
104,Global Innovations,Healthcare
105,Pinnacle Solutions,Consulting
106,Infinite Technologies,Software
107,Metro Manufacturing,Automotive
108,Summit Finance,Finance
109,Solar Energy Solutions,Energy
110,Strategic Solutions,Consulting
111,HealthCare Innovators,Healthcare
112,Data Dynamics,Technology
113,Dynamic Designs,Design
114,Blue Sky Ventures,Investment
115,Swift Solutions,Logistics
116,Optimum Organics,Agriculture
117,Advanced Analytics,Data Science
118,Rapid Robotics,Robotics
119,Green Groves,Environmental
120,Phoenix Pharma,Pharmaceuticals
121,Quasar Quotient,Space Exploration
122,Cosmic Consulting,Space
123,Intelli Innovations,Technology
124,Vivid Ventures,Entertainment
125,Lunar Logistics,Space Logistics
126,Solaris Systems,Solar Technology
127,Quantum Quest,Quantum Computing
128,Future Farms,Agriculture
129,Innovate Insurance,Insurance
130,Neural Networks,Artificial Intelligence
131,Precision Printing,Printing
132,Macro Motors,Automotive
133,Cosmo Creations,Art and Design
134,Quantum Quotient,Quantum Technology
135,Data Drones,Drone Technology
136,Sunrise Solutions,Solar Energy
137,Aero Avionics,Aerospace
138,Virtual Vision,Virtual Reality
139,Aqua Adventures,Marine Exploration
140,Electro Elegance,Electronics
141,Agile Analytics,Data Analytics
142,Metro Motors,Automotive
143,Eco Energy Solutions,Energy
144,Inno Ideas,Innovation
145,Green Grids,Environmental
146,Crypto Catalyst,Cryptocurrency
147,Skyline Software,Software Development
148,Prestige Pharma,Pharmaceuticals
149,Robo Rovers,Robotics
150,Alpha Airlines,Aviation
